Plaintext,Ciphertext,Algorithm
3mSpKyo2XAcuVET6ZyyQY0PjF9ciG9Lv3g32CgH6DaUjA3PjeEYqvNSzPf2v2R2Iy9uOT4WF3IcNepOR6soVfBgWOT3gCkSt5bcuYdswxBjpHAKRYlklfN3yNRpF6LjoDO,3pvsnbr2adfxyhw6cbbtb0smi9flj9oy3j32fjk6gdxmd3smhhbtyqvcsi2y2u2lb9xrw4zi3lfqhsru6vryiejzrw3jfnvw5efxbgvzaemskdnubonoiq3bqusi6omrgr,Compressocrat
9BSqD2tmy2EgpyKwKsSsb1QzraK3RXVd6MVF155sXZoMZwoOmNqRWUXQR1iOg5OPctYCcLxUif6suVAlmiYI4xHG6r1kq608E9ZsV3vZhD9ejW9o3RURz92ZJxfYzaqIhDxRVRqLy0O8xgRoEbN48J,9evtg2wpb2hjsbnznvvve1tcudn3uayg6pyi155vacrpczrrpqtuzxatu1lrj5rsfwbffoaxli6vxydoplbl4akj6u1nt608h9cvy3yckg9hmz9r3uxuc92cmaibcdtlkgauyutob0r8ajurheq48m,Compressocrat
hgp4IiyDxQ8VS8IALVUj4APg1FNA88rcSxnCC8p2xgRxI5Pwdzrm9h820DfQnPOMbdYvpiYKne1WJnLn03ovXjY5Mar2jiIqZlhQ3biawYYpLublqdiVAHhVeECXxGLgCGo8NcUY63QHt,pVSwOnjpC3Q128iXQiG xgphpvhdC IjnzbnIuxHSARDn5iHN 4UxdMLiLXQi4Crd0qbGtVNg0KYbA8 gLcPPJ2YE6I8IQ1awVU yACmY3ZlL DP89volqg 88xfeMahc hAr5nWrYeY8Fx2Yj3Vo ,Complete Columnar Transposition
rNOLJTuyMHsDGMBgYSh2PP4XJU3nBC4oAv0DzAUguBuQqx9jR7Eef1ffBgVVxZiJdL9JJvQhAw3Q8WB36Ud9sMtwgKGnjQEo2gw2JxhWrKoZB2JX0NNRPJ,uB44U9fiQBtEhJ LD2nDQeVJQ9n2ZRTMPCAx1ZvWMQx2JygXogjfJh3woWX Osh30uEV93dGwoNNHSUvB7gLwUKgKNrMYJAuRBdA6g2r0JGPBzqfxJ8sjJBP,Complete Columnar Transposition
3jKQzejVObfVHnyADvkxtUuX8KMf4djkWNdRfrCQBFMCArnWGhwBhsRRLFHQtcozMdant8nXiWqsuhaFVBliyIToGJ1QZwez3VcBbD6e3uKBKzTOAshzb9ukZ,3mntchmyreiykqbdgynawxxa8npi4gmnzqguiufteipfduqzjkzekvuuoiktwfrcpgdqw8qalztvxkdiyeolblwrjm1tczhc3yfeeg6h3xnencwrdvkce9xnc,Compressocrat
vXkeGOhHGm5XwwU90P0jpgjqmlMjWWPel8XOFDWKWLCR74KPONu3OujCeECOtYrLdwGetDCcdx1seP32fNMGyDLJ9YV5cC6ZKPmuMEGj9dCgZ51vTfGPlcpTCCHH,G0WWOCt39mZp XXgeL3YcN5EvCHPjDPEePJPgc v5pPWutCfVM1CkwjlCOrdMcGTHh0MFKeGeLKCl ewq8RuLxGCjfHGUmX7jd1y69G mjWKNOD2Yu5T O9lO4CwsDZdP ,Complete Columnar Transposition
gJRysqU2Q96M3jvfLQj6wt9PSQziMT8ftJyPYv0iQS18VR6HfPQBGxbxtl8nv8XFmoijes2YgGXI1V4HcQv4XNiMyjkl1SXNZ5kUCcAxRUpCNsWVYCoIpt9ZYE51mxR8KCD,jmubvtx2t96p3myiotm6zw9svtclpw8iwmbsby0ltv18yu6kistejaeawo8qy8aiprlmhv2bjjal1y4kfty4aqlpbmno1vaqc5nxffdauxsfqvzybfrlsw9cbh51pau8nfg,Compressocrat
J7gT2H2hsfWkrC5Gj1Bf86o0C4w7bAdzGxpyfxobu7g1TPvYjics61ES1iWTECNa5fbqn1jJ8UMHBhXspthdpAOYNDeh15FMIbOGKpTjsBaNwpKAlQQfHxe9HIGYGJby3EcOy,m7jw2k2kviznuf5jm1ei86r0f4z7edgcjasbiarex7j1wsybmlfv61hv1lzwhfqd5ietq1mm8xpkekavswkgsdrbqghk15iplerjnswmvedqzsndottikah9kljbjmeb3hfrb,Compressocrat
v0Pl1XRDSEOlZieTX8DcsmcYm4cu7tGz0IEqcWPmsw3Xd3PvrhZxB4zVC59yvlFSFx7ZHrZfUBfBM0lIsugfuQstCMTBkSCwCcU36wNBrOY8deQOzxGZVRk8bj2MRYCciepXPxxy8KcMjRC8,Rc039fucQM8 18GXCrgwdjx vicmBxlBrRp8OYchFBCwGcj lmWZSMMNZiR SmEvvBs3zYc lXt3VHuC8bx Z4PxF0TBVeC PT7wzZsSY8P Ecqrlft6xCM 0eus47IkOkX DsIPyUQUORK XDzd5ZfCe2y ,Complete Columnar Transposition
Hy6JhqXqTCnNsS6Fmhi2eCl5TCfZR92uQwTeJIs5t2kTT7SOlYxGohmYipYFbxJKxDZJiN4fetzTUEHAXA0KeiuPeCDRHwi41XJOLlX9iBG63d1hHjtkku7Tow88H5s2fqmO9JriOtNIf,yNCu2GxfARlhwO Hne2txb4XDL1omfJS5wThKtKw9j8J qhZIOpJEPX6u2t XmfJSiZUu1GksO h6TTTmxzeiitHr qFCe7YDTi4Bk5i TiRslYiHeJ37fN 6slQkoJe0HXH89 C295YFNACOdTqI ,Complete Columnar Transposition
c8PXKqPnXKANObF4OIsP9tEpZZRztDeSdkCAEDnvMju3TuU3wziWxGJgupDhrCpjgds8y3NAp935k0u7KUumWkFGDF4tFbf8zGD9pnLwddsFM41PREs,cXOZdMwugpKDzdRPFEenUJpNuFfL1 qbtDDuGC30kbn4 KO9tETxrykWFpM PAsRCuiDs3u4Dssn4pSv3gjA7G8wP XNPzA3Wh85mt9F 8KIZkjzpd9UFGdE,Complete Columnar Transposition
dKJmxJseyGCWJr0NRNhigzxYvJ8xWjmMGzGccciTvZEHDjM5Giu7NukzNV1tLvG1GIFTKtE0bxvRhALtY5U3SObMEq9PYXLKoUdLEkHOUNX1yj0RpcK8ShmbCuAjASnAGXN6E32,gnmpamvhbjfzmu0quqkljcabym8azmppjcjffflwychkgmp5jlx7qxncqy1woyj1jliwnwh0eayukdowb5x3vrepht9sbaonrxgohnkrxqa1bm0usfn8vkpefxdmdvqdjaq6h32,Compressocrat
9lD6IvIwRX3URPZSqNEm9prJto8tXsTnSTFuEwJ77YUrshKRIy5z0w9XZjscs9Tfw7CPqVEnm0Ir7JSrigNVLppdQ5HoOodgAvTEgRXia9J7kAP744EEPmW9susPd6XfPK,9og6lylzua3xuscvtqhp9sumwr8wavwqvwixhzm77bxuvknulb5c0z9acmvfv9wiz7fstyhqp0lu7mvuljqyossgt5krrrgjdywhjuald9m7nds744hhspz9vxvsg6aisn,Compressocrat
atKMg7vsDPIHF48i2GDrmZhvkUDPqTlaVvYsKRWmlN2O5z0BGufzQgliEu7paqypCWr9vtLUKaqPxSpdQhDtkzRG754TXtShO68sxNoo9iEjDVMx,4PNitt6x 7rvBqP5o a8q2ELk8 K2l57KRx vmYGyx49 IkWQrQSD gDV0aq7o tiTOuUzs PvRzWdtj MGazpaGN FDllvDOM sZsupSTi DhKfCpXE HUmg9hhV ,Complete Columnar Transposition
5GmKIjku2HChRnTLFf5GCZdDiGADKdJDRZtUbzq0aVnLecBwSeId75e7EcsAlXiXPUP9Ax5yC366yyfR9Q3IiP3whlIzHiUo1aWbtDRUIBIy0opDwjrm74UWhcZQANX744bpnegMcCMRT3dpV,5jpnlmnx2kfkuqwoii5jfcggljdgngmgucwxect0dyqohfezvhlg75h7hfvdoalasxs9da5bf366bbiu9t3lls3zkolcklxr1dzewguxlelb0rsgzmup74xzkfctdqa744esqhjpffpuw3gsy,Compressocrat
06UKuKMXR0upt4jQHoAtrdJ8L4V6lORBJFdw8PQyYHuSAAjtylWIEp2ot2TjZD6dJA9AJHiypqnvPf7C2xfIU1mdryRMMc3emZWLUQJnEn36vt96an7m9VhVWE6p,06xnxnpau0xsw4mtkrdwugm8o4y6oruemigz8stbbkxvddmwbozlhs2rw2wmcg6gmd9dmklbstqysi7f2ailx1pgubuppf3hpczoxtmqhq36yw96dq7p9ykyzh6s,Compressocrat
xG4FDgZUEW1u6nxuAcK3oVjbqJ7LLUAsjmvoyK1pFJP8RvqW0F9UPVFDkUYwkiUIFl64IP9dHc12e80QdWaAi1OoeTjanGDxdNOQ7N6EQFbaIJAabHUrIsbG0SRBZ8,aj4igjcxhz1x6qaxdfn3rymetm7ooxdvmpyrbn1sims8uytz0i9xsyignxbznlxlio64ls9gkf12h80tgzddl1rrhwmdqjgagqrt7q6htiedlmddekxulvej0vuec8,Compressocrat
x9zDKpSotR02fP2PWcfzyyJEdOaSkfF2BPYvK2g5H6con53S4KErc7eR7r5IKQcl72ub9nLjW0T0z7etkKpK12yR5IvyWViYSUfGVwdgBo1evMXN9Mz,SzB55j1UX92SH7utWofOgr77vg pf2nrLKSMtyYSK0yG92d2ElzId zPk6ebkV1DWfcR9KieRJv4QTRVMoyP3IW2fNKcFo7npYv0EKKc05wzxPa5c2eyB,Complete Columnar Transposition
sZpTefrjyTYOjVyuxgfa8tCxWrgiflBCJJGAgbfwJfMMYu3yasAyXfU5J5pKHkRykirtrFjekBrAtEYexq8pUOFMNmDgita8zv1NyZ3vCvB003PMituM8SmEul9z9usVSOF9KYpuyr0Yzxh7KmLIl,vcswhiumbwbrmybxajid8wfazujlioefmmjdjeizmippbx3bdvdbaix5m5snknubnluwuimhneudwhbhat8sxripqpgjlwd8cy1qbc3yfye003splwxp8vphxo9c9xvyvri9nbsxbu0bcak7npolo,Compressocrat
iOtpqQjTBYyeCMELzIG763SAIcY9xS5ZIMO6fgXpQQwkPNcKPRPz9Wv9YBgagqoGVHJLSKoCxzDXRLSGjwbEgsA69fh18UjwtvDYnHEwEgCUSCuetcZThb2vPgRZk7VpHlJkvJB9DoZzO,lrwsttmwebbhfphoclj763vdlfb9av5clpr6ijasttznsqfnsusc9zy9bejdjtrjykmovnrfacgauovjmzehjvd69ik18xmzwygbqkhzhjfxvfxhwfcwke2ysjucn7yskomnyme9grccr,Compressocrat
TnnrWTZYeKgZ3IlxumDhqQ3FH9OuMyNzLhww2DNl0RTZt6NLfRiuhpthlxSjGyAMiKyBlFOIS6P7lJkFsilu1CNd3w8aFim0y9JGPFARFAT1CF,Tx9w6hK7C0A YmuDLxBJd91 WlHwttiP1mF KhylRjFFwGF ZuO2NlylNyT eDMNfSlk3JC n33LThASlFA rIFhZpM6uiR TgqN0iGOs8P nZQzRuyIiaF ,Complete Columnar Transposition
KVXXFJGhKhrXI0xI0WcWUCInBgV1PWpt3cCqw30fC3hXZpnZVLSw3TNOBkNiYn0nZdKwIrMIkuTssKr82G5R0gi9WYA6dr3PiS3ipjTu1pW1RzFjKOrOAyCeOY4XfzGVrS74xD8FuLa,XXUW0ZBdTRdjFerLVrWP3nOZu56pzCVuKWVqZT0I2Y31Az8 XICpfVkKs0rTjOSaF0ItCLNwsg3uKY7 Khc1wpNnkGAiRyGFGIBchwYrr9iprXx Jxn33SiIKiP1O44 h0gCX3nM8WSWOfD ,Complete Columnar Transposition
ru1svJKiK2FYv5RWdcgOY1Dbh72kCDa9BmS6i4Ptk374rfPxqfxQ5PkdzOtUSWoBPfTganEeiLoHRCaaSv0h3BSiEeoyfUZggux4tiyX0W3iPRjeHKaNPkCwUnOVj6ANRC3nf5giWhLUy,ux1vymnln2iby5uzgfjrb1gek72nfgd9epv6l4swn374uisatiat5sngcrwxvzresiwjdqhhlorkufddvy0k3evlhhrbixcjjxa4wlba0z3lsumhkndqsnfzxqrym6dquf3qi5jlzkoxb,Compressocrat
HMGmVzsPdY5Y9pFyhpFOMeH4ax7uiy31KAxIRlWE9XebLeaqnc7d8YzGsOTGXABSzfOIINjrftfG6nZjIuzLOW1PRPetSBU92pdpf7BhDNMdtQVQVlhaTiSakF8,kpjpycvsgb5b9sibksirphk4da7xlb31ndaluozh9aheohdtqf7g8bcjvrwjadevcirllqmuiwij6qcmlxcorz1sushwvex92sgsi7ekgqpgwtytyokdwlvdni8,Compressocrat
eqTKOeFDGxdF2KkxkqXg5KRUhoVGac23apcExy6jl792cJZ6TVPAoupA6Uur0eKxhGR5dloZHc9ze4D3sX2tufJDaxmsKYtVNpDxLFXXmU5IWYpja7AboIwO1S4a8vaWQy2VUtgnHpAF9dj,FUE6rZtVIOV OkaloheaLa8HDg32A53sXbWFdRcZuo2t5w2jxKpJUlXYUIydTkV6PK9JDp4geqc7uG4xF7vpFX29pRDmXAaAG5ac6dsKmoQ9KxGjAxzDxjane2hxT0HuNW1UqKoyVecfpYSt,Complete Columnar Transposition
0zeLKdBQ9ipsq2u7ZzS1VuuCroe8miXXLgjgkCDuAhIw9XnCtDq2hfkZRt0TSMcn12ujfTp9wzGdRtq0lb8z2CJVJpgDgZYihad1Xoim0zxRO8PfLLq60ebem5PCZif521Zvhc8Ddk7KB0UzFbyRBl,0chonget9lsvt2x7ccv1yxxfurh8plaaojmjnfgxdklz9aqfwgt2kincuw0wvpfq12xmiws9zcjguwt0oe8c2fmymsjgjcblkdg1arlp0caur8sioot60hehp5sfcli521cykf8ggn7ne0xciebueo,Compressocrat
4JEdfryiAmP4ZHpOZIYbyYTwEIYFw6KGuyrlbuMob5ZXrdZEHwXLokgpQprI0Y6VdW8oK2Zyw712llpLuZVSw6LbTSw8KKjK8m1Z4FItlFcfdoMobHEav6NmZivTl6Z23udbjLT6,4mhgiubldps4cksrclbebbwzhlbiz6njxbuoexpre5caugchkzaornjstsul0b6ygz8rn2cbz712oosoxcyvz6oewvz8nnmn8p1c4ilwoifigrprekhdy6qpclywo6c23xgemow6,Compressocrat
kU8BYO9FPulT9JS47NYwoQL0lytUSsilUa8S8Kz2X9KclMu6Z9NoOKg7FjvVepwukO49f0TQOU4vCaqnpSewqYgUadyCUAk4AF4ywIyg1EY3KPWRokCeZ2,F40l267uQnU4gR UuNya99jOUSdFEkBTwUScoV9vwCy3e9SLizugwTqgkyW OJQsKMKp0aYAIP28lYt8KNv44ey4YCkP7lUXZFkOpaA1oY9oS8lOefCqUwKZ,Complete Columnar Transposition
kUeJ85fvMN5ETbB8PkM4BkdgvnmASJU7UIqQstpgdzKJ1FjdxaBfs0QOMEmgbnkOsfE2htYzEF5QqfPIylx4yxlCcqCDqo1rKdjWSQgfQwZIAWLoJd1y0HA9IR37EK4pEtfz52,5bkJtF0ntfxoQWHK2v8g7gdOOzICrfo9p fBdUpjQkYPl1gLA4 8TBSs1sbhqyqSA0E5UNknIzaEfFlqdwdRtJE4AQJfg2Q4DWIy7zkMPvUdxMsEycKQJIEe5MmqKBmE5xCjZ13f,Complete Columnar Transposition
BfRBm0Oj1Mqu6U6ZefyJzJu2rHD63aYSNLHYAhAjjKLLW98g7gKXgYs3I4w4AqyPFKMEclrzjNMRSzcz44vSpdVE6r5xbv0Yttr1F2SRg3oitVCX,BUDjgKcxg0ySW4rStVRZ3KsE4vo6HAXFz5R q2AgyR62 1JHgANV1 jzL84jdrXBeaL3c40if66jYMzb3MuY7qMEF OJN9wzptCurhKPSrS mfYLIlvYt,Complete Columnar Transposition
YketTGziX2H4Kblm41m1dpcDd6xTmrx0DGzO7hRbpxFMCl93ELJwwk15qV1Sfsbydk2KX9n2oPoRnrPAGb3X9XRaE6iPlMZaoqMZ8tT9TPrB5y2wDqnDtRH0NzLgaGQ911xJPMMstRgEev,bnhwwjcla2k4neop41p1gsfgg6awpua0gjcr7kuesaipfo93homzzn15ty1vivebgn2na9q2rsruqusdje3a9audh6lsopcdrtpc8ww9wsue5b2zgtqgwuk0qcojdjt911amsppvwujhhy,Compressocrat
UbPFsq6AzyVcLTK0mvUToRIOYE68QwGt2k1Q4JlsgEiVqUZJW6l8R5vPfowoV3tAY4vxqLsD2hEd3OLL8NeE4mGh3RyHtAd32jimvAK56Dju3TlXfFvOlu,xesivt6dcbyfown0pyxwrulrbh68tzjw2n1t4movjhlytxcmz6o8u5ysirzry3wdb4yatovg2khg3roo8qhh4pjk3ubkwdg32mlpydn56gmx3woaiiyrox,Compressocrat
iNBOBzB9EyacImUx8a5uW1HmbRaOUpoS4wtigyGLtke0ct8sDUHMHvB4Riv5FwWmk866ZzbooUinUbLGkhxTPYcy4OqXINdMdQgP1bdShACyhJqESjn,lqerece9hbdflpxa8d5xz1kpeudrxsrv4zwljbjownh0fw8vgxkpkye4uly5izzpn866ccerrxlqxeojnkawsbfb4rtalqgpgtjs1egvkdfbkmthvmq,Compressocrat
GUNhshYgFmMmXq1HmwTAskcJF6nS7EvpaaQf6h1KQFj8fXGeUUg5qPoDsqDdg0l3c2sxZRuBVhg2W4ca2iQPkvw5C9Nr4Ufx0vlhzz9Dr1yS2EZAP4Zk,jxqkvkbjipppat1kpzwdvnfmi6qv7hysddti6k1ntim8iajhxxj5tsrgvtggj0o3f2vacuxeykj2z4fd2ltsnyz5f9qu4xia0yokcc9gu1bv2hcds4cn,Compressocrat
NyXwNb3R41U5iE6Fh4ACceqPuaT3RHXVKUKo9Q3vHHSSNgBQUpEwQRPyj10J5NdaP7kG2E2F3keWFupvrdGoJPyz0pfDCZKCf2FCuhFVPbgzAcJJa0fYM9NOt,qbazqe3u41x5lh6ik4dffhtsxdw3ukaynxnr9t3ykkvvqjetxshztusbm10m5qgds7nj2h2i3nhzixsyugjrmsbc0sigfcnfi2ifxkiysejcdfmmd0ibp9qrw,Compressocrat
hgWQoavw1O9ZsJHxSgc5kFi0TVUAgqNmmh72znD0YmTvgWAc7O1RLhX5CDQL9Gi9FaHVdJ7B1LE7GX66lSLlU0igyQMM4uG4yAM6SWprz9vsCZiiAMS4VGt1SJ3uTV7JOnmnNTsRw6,kjztrdyz1r9cvmkavjf5nil0wyxdjtqppk72cqg0bpwyjzdf7r1uoka5fgto9jl9idkygm7e1oh7ja66ovoox0ljbtpp4xj4bdp6vzsuc9yvfclldpv4yjw1vm3xwy7mrqpqqwvuz6,Compressocrat
ZaHgbyjdQdmrWYksRqj1dSYsnWIcw0CgN3RVJ3oVPJypGYYZSsSQd7yyA9YRu9JdaVqmN3X33C1o6OTTPxWLIVMmXU9msClRel9lVGhycBrJqikL2qavDT7jcj7uMdX7ON1QtFYKJ,msJsJoXGa7 dd3YR3V9LM dYVS91mVqX WWoQaO9yDN j1NYY3IlkuJZYIVdVTmcT1bqCpA3WRqjYHswJymPCrjtgR0yyNxlJcFQSRZuCMl2d yjgG9XLei7Krn3Sd6UhvO akcP7qTsB7Q,Complete Columnar Transposition
o4nQvvxsn8WNHEJ0WPahQwCp5PN6Np9cR4uy6Y8hyqIUsb6H0XxGZGCFcs5PmuGf8gk9XIIaOenQOXn3RB1gnI1S4VXBP08eVRjbDTvcfedlYqJeK0o6qAyCOzBubyRhIaPU,vJpRqxPXX1ef0BUsWPuUZuI34Rd6b QHw9h0skQn0veOax054IGmInSVeou nPNysGGaRVjlqy vECcyX59OI8cKzPnNQp8HcgngPTJCI4WhNY6F8e1BDqyho8a66bCfOBXbYAR,Complete Columnar Transposition
W7Cyz0QbEkIoiVzYZ2Is9OjtR469Y3UPx98aJ3JjhcaKMzIJ8ftnVV5UwnA5P2GjkloN1qmhlQZK2d2W7JDPJesQeqgmULF8vwiQPpgsNe5muFCvNQtSLjKKxZu9Bkau,z7fbc0tehnlrlycbc2lv9rmwu469b3xsa98dm3mmkfdnpclm8iwqyy5xzqd5s2jmnorq1tpkotcn2g2z7mgsmhvthtjpxoi8yzltssjvqh5pxifyqtwvomnnacx9endx,Compressocrat
FJglPMf1r20i5ImqU4OeUe5b2GOb0LLzXLn6cJqI5IEPXjxzo5XLU2siDGGfzxGaQp29ZNRkWGiCklK8KQ39jVUE8wcoWFoeqxocQnH6YxyE6D4ccPugT9HO1r1VqLIKl,imjospi1u20l5lptx4rhxh5e2jre0oocaoq6fmtl5lhsamacr5aox2vlgjjicajdts29cqunzjlfnon8nt39myxh8zfrzirhtarftqk6babh6g4ffsxjw9kr1u1ytolno,Compressocrat
4MaG4iCkoeGPrnjlkxMT0hQoAZvUhEREEnLkP1AbpciKLkiOGc5Kjdkq7lH9zMKOb4UUQ0s8fnCME3Eko1AMjYL0XlNQGqkURv7DMLeoyyigbmH36GRA0jMglE5NMc4YIGWhfEQi5MI0,inhE1kdM03YqLmjcE MexZnccl4n1lvyGEGMkloEbOqO8k0Uo3gYi 4okAEpG7bfoXRy6lI5aGMvLi5HUCAN7iR5WIGPTUkKK9UMMQDgANh04r0hPLjzQEjGMb0Mf CjQRAikKsELkeHM4Q ,Complete Columnar Transposition
YXywLZV6W1SKgBiqEXo62fsM4IAqmaTVYaKHhHayPnSZuAxgjBPLqq2IBKxNrRzWnAJYJElxJJEqtKwXTzVi23QhVoCYS8kgnGzYvZJNSRTdky9OaZf0jE7MBfeqoxfMcUy7zNPHsT9M,6qMVygIWxXhgNOMMH X1XIanBKAJzoGRZfUTLg2mhuqrJt2Svkjoz YWE4YPjBnJTVnSaBcsVisTax2zlwQkJ97fP wK6qHZLNYqiYYd0q7MZBfaHAqREK38ZyExN ySoAKSPxJEVCzTfey9,Complete Columnar Transposition
YMGHSoNkRcxpPakfrXzwQzzLmHaVTe6fJsU1J6Lww90roM9mD7zKaqlAGgJeGsv8hZG9q4I0YKqSC9yKEXpWv9XDRD5L3bEhqeyOYoRSoZuA9wHI,kfLfwmA80KDhSI Nkz6L9lvIyXERH oaze6Mqs499bow HpwV1rKe9SWLOA YRrmJwDGhYERqo GxzaU0zJGqp5yu McXHs97gZKXDeZ SPQTJoaGqCv3Y9 ,Complete Columnar Transposition
7lEuwn5Krl8VR76mFVmpVp3qnom1p1NwjXgh6fR9QFNaW2I9c2ExNuF545K3rFlW6GrzoWKidHZBE8IcGwz3RXlDhSHDuSaaRnyLguxN3qlJqprE9NvxlFBnASWxx2zrClKiKRo0gUrZpJB2y,7ohxzq5nuo8yu76piypsys3tqrp1s1qzmajk6iu9tiqdz2l9f2haqxi545n3uioz6jucrznlgkceh8lfjzc3uaogkvkgxvdduqbojxaq3tomtsuh9qyaoieqdvzaa2cufonlnur0jxucsme2b,Compressocrat
